ID,NAME,POS,DATEOFBIRTH,PLACEOFBIRTH,AGE,DATEOFDEATH,NATIONALITY,HEIGHT,WEIGHT,URL,STATUS
1,Pele,FW,"October 23, 1940","Tres Coracões ",85,"December 29, 2022",Brazil,1m72,67,https://www.footballdatabase.eu/en/player/details/16333--pele,SUCCESS
2,Cristiano Ronaldo,FW,"February 05, 1985","Funchal ",40,,Portugal,1m85,83,https://www.footballdatabase.eu/en/player/details/2058-cristiano-ronaldo,SUCCESS
3,Lionel Messi,FW,"June 24, 1987","Rosario ",38,,Argentina,1m70,67,https://www.footballdatabase.eu/en/player/details/10973-lionel-messi,SUCCESS
4,Diego Armando Maradona,MF,"October 30, 1960","Lanús ",65,"November 25, 2020",Argentina,1m68,73,https://www.footballdatabase.eu/en/player/details/9105-diego_armando-maradona,SUCCESS
5,Franz Beckenbauer,DF,"September 11, 1945","Munich ",80,"January 07, 2024",Germany,1m81,75,https://www.footballdatabase.eu/en/player/details/16419-franz-beckenbauer,SUCCESS
6,Michel Platini,MF,"June 21, 1955","Joeuf ",70,,France,1m78,71,https://www.footballdatabase.eu/en/player/details/15257-michel-platini,SUCCESS
7,Johan Cruijff,FW,"April 25, 1947","Amsterdam ",78,"March 24, 2016",Netherlands,1m78,71,https://www.footballdatabase.eu/en/player/details/14579-johan-cruijff,SUCCESS
8,Ronaldo,FW,"September 22, 1976","Rio de Janeiro ",49,,Brazil,1m83,82,https://www.footballdatabase.eu/en/player/details/424--ronaldo,SUCCESS
9,Marco van Basten,FW,"October 31, 1964","Utrecht ",61,,Netherlands,1m86,80,https://www.footballdatabase.eu/en/player/details/9107-marco-van_basten,SUCCESS
10,Eusebio,FW,"January 25, 1942","Lourenço Marques ",83,"January 05, 2014",Portugal,1m75,73,https://www.footballdatabase.eu/en/player/details/14555--eusebio,SUCCESS
11,Gerd Muller,FW,"November 03, 1945","Nördlingen ",80,"August 15, 2021",Germany,1m76,74,https://www.footballdatabase.eu/en/player/details/16420-gerd-muller,SUCCESS
12,Bobby Charlton,MF,"October 11, 1937","Ashington ",88,"October 21, 2023",England,1m75,68,https://www.footballdatabase.eu/en/player/details/16423-bobby-charlton,SUCCESS
13,Karl-Heinz Rummenigge,FW,"September 25, 1955","Lippstadt ",70,,Germany,1m82,78,https://www.footballdatabase.eu/en/player/details/16418-karlheinz-rummenigge,SUCCESS
14,Zinedine Zidane,MF,"June 23, 1972","Marseille 16e ",53,,France,1m80,74,https://www.footballdatabase.eu/en/player/details/12-zinedine-zidane,SUCCESS
15,Luisito Suarez,MF,"February 01, 1962","São Paulo ",63,,Brazil,,,https://www.footballdatabase.eu/en/player/details/286599--luis_dos_reis,"FAILEDCould not find the user-interface (UI) element for this action."
16,Lothar Matthaus,MF,,,,,,,,https://www.footballdatabase.eu/en/player/details/3254-lothar-matthaus,FAILEDThere is no row at position 1.
17,Ruud Gullit,MF,"September 01, 1962","Amsterdam ",63,,Netherlands,1m86,83,https://www.footballdatabase.eu/en/player/details/4774-ruud-gullit,SUCCESS
18,Lev Yashin,GK,"October 22, 1929","Moscow ",96,"March 20, 1990",Russia,1m89,83,https://www.footballdatabase.eu/en/player/details/16425-lev-yashin,SUCCESS
19,Andriy Shevchenko,FW,,,,,,,,https://www.footballdatabase.eu/en/player/details/3-andriy-shevchenko,FAILEDThere is no row at position 1.
20,Raymond Kopa,MF,"October 13, 1931","Nœux-les-Mines ",94,"March 03, 2017",France,1m69,68,https://www.footballdatabase.eu/en/player/details/16430-raymond-kopa,SUCCESS
21,Gianni Rivera,MF,"August 18, 1943","Alessandria ",82,,Italy,1m75,68,https://www.footballdatabase.eu/en/player/details/16421-gianni-rivera,SUCCESS
22,Bobby Moore,DF,"April 12, 1941","Barking ",84,"February 24, 1993",England,1m78,,https://www.footballdatabase.eu/en/player/details/16554-bobby-moore,SUCCESS
23,Franco Baresi,DF,,,,,,,,https://www.footballdatabase.eu/en/player/details/9098-franco-baresi,FAILEDThere is no row at position 1.
24,Rivaldo,MF,"April 19, 1972","Recife ",53,,Brazil,1m86,75,https://www.footballdatabase.eu/en/player/details/423--rivaldo,SUCCESS
25,Luis Figo,MF,"November 04, 1972","Almada ",53,,Portugal,1m80,75,https://www.footballdatabase.eu/en/player/details/1664-luis-figo,SUCCESS
26,Florian Albert,FW,"September 15, 1941","Hercegszántó ",84,"October 31, 2011",Hungary,1m81,72,https://www.footballdatabase.eu/en/player/details/16422-florian-albert,SUCCESS
27,Denis Law,FW,"February 24, 1940","Aberdeen ",85,"January 17, 2025",Scotland,1m76,69,https://www.footballdatabase.eu/en/player/details/16424-denis-law,SUCCESS
28,Michael Owen,FW,"December 14, 1979","Chester ",46,,England,1m73,70,https://www.footballdatabase.eu/en/player/details/1258-michael-owen,SUCCESS
29,Roberto Baggio,FW,"February 18, 1967","Caldogno ",58,,Italy,1m74,72,https://www.footballdatabase.eu/en/player/details/2306-roberto-baggio,SUCCESS
30,Robert Lewandowski,FW,"August 21, 1988","Warsaw ",37,,Poland,1m84,78,https://www.footballdatabase.eu/en/player/details/43411-robert-lewandowski,SUCCESS
31,Hristo Stoichkov,FW,,,,,,,,https://www.footballdatabase.eu/en/player/details/6112-hristo-stoichkov,FAILEDThere is no row at position 1.
32,Ferenc Puskas,FW,"April 02, 1927","Budapest ",98,"November 17, 2006",Hungary,1m72,75,https://www.footballdatabase.eu/en/player/details/17442-ferenc-puskas,SUCCESS
33,Ronaldinho,MF,"March 21, 1980","Porto Alegre ",45,,Brazil,1m81,80,https://www.footballdatabase.eu/en/player/details/27--ronaldinho,SUCCESS
34,Paolo Rossi,FW,"September 23, 1956","Prato ",69,"December 09, 2020",Italy,1m77,66,https://www.footballdatabase.eu/en/player/details/16417-paolo-rossi,SUCCESS
35,Kaka,MF,"April 22, 1982","Brasília ",43,,Brazil,1m86,73,https://www.footballdatabase.eu/en/player/details/1638--kaka,SUCCESS
36,Luka Modric,MF,"September 09, 1985","Zadar ",40,,Croatia,1m74,65,https://www.footballdatabase.eu/en/player/details/14377-luka-modric,SUCCESS
37,Alfredo Di Stefano,FW,"July 04, 1926","Buenos Aires ",99,"July 07, 2014",Spain,1m78,71,https://www.footballdatabase.eu/en/player/details/16429-alfredo-di_stefano,SUCCESS
38,Pavel Nedved,MF,"August 30, 1972","Cheb ",53,,Czech,1m77,70,https://www.footballdatabase.eu/en/player/details/1593-pavel-nedved,SUCCESS
39,Jean-Pierre Papin,FW,"November 05, 1963","Boulogne-sur-Mer ",62,,France,1m77,78,https://www.footballdatabase.eu/en/player/details/3847-jeanpierre-papin,SUCCESS
40,Oleg Blokhin,FW,"November 05, 1952","Kyiv ",73,,Ukraine,1m80,75,https://www.footballdatabase.eu/en/player/details/8092-oleh-blokhin,SUCCESS
41,Garrincha,FW,"October 28, 1933","Pau Grande ",92,"January 20, 1983",Brazil,1m69,72,https://www.footballdatabase.eu/en/player/details/36173--garrincha,SUCCESS
42,Kevin Keegan,FW,"February 14, 1951","Armthorpe ",74,,England,1m70,67,https://www.footballdatabase.eu/en/player/details/2574-kevin-keegan,SUCCESS
43,George Best,MF,"May 22, 1946","Belfast ",79,"November 25, 2005",Northern,1m75,69,https://www.footballdatabase.eu/en/player/details/13301-george-best,SUCCESS
44,Allan Simonsen,FW,"December 15, 1952","Copenhagen ",73,,Denmark,1m65,58,https://www.footballdatabase.eu/en/player/details/3672-allan-simonsen,SUCCESS
45,Omar Sivori,FW,"October 02, 1935","Buenos Aires ",90,"February 17, 2005",Italy,1m71,70,https://www.footballdatabase.eu/en/player/details/16427-omar-sivori,SUCCESS
46,Josef Masopust,MF,"February 09, 1931","Strimice ",94,"June 29, 2015",Czech,1m74,66,https://www.footballdatabase.eu/en/player/details/16426-jozef-masopust,SUCCESS
47,Matthias Sammer,MF,,,,,,,,https://www.footballdatabase.eu/en/player/details/2724-matthias-sammer,FAILEDThere is no row at position 1.
48,Fabio Cannavaro,DF,"September 13, 1973","Naples ",52,,Italy,1m75,72,https://www.footballdatabase.eu/en/player/details/1568-fabio-cannavaro,SUCCESS
49,Romario,FW,"January 29, 1966","Rio de Janeiro ",59,,Brazil,1m68,70,https://www.footballdatabase.eu/en/player/details/7205--romario,SUCCESS
50,Mario Kempes,FW,"July 15, 1954","Bell Ville ",71,,Argentina,1m82,80,https://www.footballdatabase.eu/en/player/details/16437-mario-kempes,SUCCESS
51,Zico,MF,,,,,,,,https://www.footballdatabase.eu/en/player/details/5297--zico,FAILEDThere is no row at position 1.
52,George Weah,FW,"October 01, 1966","Monrovia ",59,,Liberia,1m84,82,https://www.footballdatabase.eu/en/player/details/1289-george-weah,SUCCESS
53,Stanley Matthews,FW,"February 01, 1915","Hanley ",110,"February 23, 2000",England,1m74,71,https://www.footballdatabase.eu/en/player/details/16431-stanley-matthews,SUCCESS
54,Igor Belanov,MF,"September 25, 1960","Odesa ",65,,Ukraine,1m74,68,https://www.footballdatabase.eu/en/player/details/16416-igor-belanov,SUCCESS
55,Paolo Maldini,DF,"June 26, 1968","Milan ",57,,Italy,1m85,77,https://www.footballdatabase.eu/en/player/details/1637-paolo-maldini,SUCCESS
56,Jurgen Klinsmann,FW,"July 30, 1964","Göppingen ",61,,Germany,1m85,80,https://www.footballdatabase.eu/en/player/details/9104-jurgen-klinsmann,SUCCESS
57,Kenny Dalglish,FW,,,,,,,,https://www.footballdatabase.eu/en/player/details/16566-kenny-dalglish,FAILEDThere is no row at position 1.
58,David Beckham,MF,"May 02, 1975","London ",50,,England,1m82,74,https://www.footballdatabase.eu/en/player/details/878-david-beckham,SUCCESS
59,Thierry Henry,FW,"August 17, 1977","Les Ulis ",48,,France,1m88,83,https://www.footballdatabase.eu/en/player/details/5-thierry-henry,SUCCESS
60,Andres Iniesta,MF,"May 11, 1984","Fuentealbilla ",41,,Spain,1m70,65,https://www.footballdatabase.eu/en/player/details/1790-andres-iniesta,SUCCESS
61,Dino Zoff,GK,"February 28, 1942","Mariano del Friuli - GO ",83,,Italy,1m82,78,https://www.footballdatabase.eu/en/player/details/11522-dino-zoff,SUCCESS
62,John Charles,DF,"December 27, 1931","Swansea ",94,"February 21, 2004",Wales,1m88,90,https://www.footballdatabase.eu/en/player/details/51498-john-charles,SUCCESS
63,Raul,FW,"June 27, 1977","Madrid ",48,,Spain,1m80,73,https://www.footballdatabase.eu/en/player/details/14--raul,SUCCESS
64,Gianluigi Buffon,GK,"January 28, 1978","Carrara ",47,,Italy,1m91,83,https://www.footballdatabase.eu/en/player/details/1591-gianluigi-buffon,SUCCESS
65,Roberto Carlos,DF,,,,,,,,https://www.footballdatabase.eu/en/player/details/419--roberto_carlos,FAILEDThere is no row at position 1.
66,Gabriel Batistuta,FW,"February 01, 1969","Reconquista ",56,,Argentina,1m85,73,https://www.footballdatabase.eu/en/player/details/863-gabriel-batistuta,SUCCESS
67,Giacinto Facchetti,DF,"July 18, 1942","Treviglio ",83,"September 04, 2006",Italy,1m88,85,https://www.footballdatabase.eu/en/player/details/16990-giacinto-facchetti,SUCCESS
68,Gheorghe Hagi,MF,,,,,,,,https://www.footballdatabase.eu/en/player/details/7738-gheorghe-hagi,FAILEDThere is no row at position 1.
69,Frank Lampard,MF,,,,,,,,https://www.footballdatabase.eu/en/player/details/2116-frank-lampard,FAILEDThere is no row at position 1.
70,Gary Lineker,FW,"November 30, 1960","Leicester ",65,,England,1m76,74,https://www.footballdatabase.eu/en/player/details/15868-gary-lineker,SUCCESS
71,Paul Breitner,DF,"September 05, 1951","Kolbermoor ",74,,Germany,1m76,73,https://www.footballdatabase.eu/en/player/details/16663-paul-breitner,SUCCESS
72,Ian Rush,FW,,,,,,,,https://www.footballdatabase.eu/en/player/details/16465-ian-rush,FAILEDThere is no row at position 1.
73,Dennis Bergkamp,FW,"May 10, 1969","Amsterdam ",56,,Netherlands,1m85,80,https://www.footballdatabase.eu/en/player/details/2155-dennis-bergkamp,SUCCESS
74,Preben Elkjaer,FW,"September 11, 1957","Frederiksberg ",68,,Denmark,1m82,74,https://www.footballdatabase.eu/en/player/details/16435-preben-elkjaer_larsen,SUCCESS
75,Eric Cantona,FW,"May 24, 1966","Marseilles ",59,,France,1m86,81,https://www.footballdatabase.eu/en/player/details/9102-eric-cantona,SUCCESS
76,Deco,MF,"August 27, 1977","São Bernardo do Campo ",48,,Portugal,1m77,73,https://www.footballdatabase.eu/en/player/details/2513--deco,SUCCESS
77,Gordon Banks,GK,"December 30, 1937","Sheffield ",88,"February 12, 2019",England,1m82,82,https://www.footballdatabase.eu/en/player/details/16560-gordon-banks,SUCCESS
78,Davor Suker,FW,"January 01, 1968","Osijek ",57,,Croatia,1m83,77,https://www.footballdatabase.eu/en/player/details/5402-davor-suker,SUCCESS
79,Rob Rensenbrink,MF,"July 03, 1947","Amsterdam ",78,"January 24, 2020",Netherlands,1m78,76,https://www.footballdatabase.eu/en/player/details/16492-robby-rensenbrink,SUCCESS
80,Bernd Schuster,MF,"December 22, 1959","Augsburg ",66,,Germany,1m81,74,https://www.footballdatabase.eu/en/player/details/8567-bernd-schuster,SUCCESS
81,Luigi Riva,FW,"November 07, 1944","Leggiuno ",81,"January 22, 2024",Italy,1m80,78,https://www.footballdatabase.eu/en/player/details/32399-luigi-riva,SUCCESS
82,Gunter Netzer,MF,"September 14, 1944","Mönchengladbach ",81,,Germany,1m78,75,https://www.footballdatabase.eu/en/player/details/16661-gunter-netzer,SUCCESS
83,Alessandro Mazzola,MF,"June 15, 1969","Varese ",56,,Italy,1m81,74,https://www.footballdatabase.eu/en/player/details/24380-alessandro-mazzola,SUCCESS
84,Alain Giresse,MF,"August 02, 1952","Langoiran ",73,,France,1m63,60,https://www.footballdatabase.eu/en/player/details/4343-alain-giresse,SUCCESS
85,Hans Krankl,FW,"February 14, 1953","Vienna ",72,,Austria,1m82,77,https://www.footballdatabase.eu/en/player/details/16460-hans-krankl,SUCCESS
86,Helmut Rahn,FW,"August 16, 1929","Essen ",96,"August 14, 2003",Germany,,,https://www.footballdatabase.eu/en/player/details/44646-helmut-rahn,SUCCESS
87,Dejan Savicevic,MF,,,,,,,,https://www.footballdatabase.eu/en/player/details/3039-dejan-savicevic,FAILEDThere is no row at position 1.
88,Paulo Futre,MF,"February 28, 1966","Montijo ",59,,Portugal,1m75,72,https://www.footballdatabase.eu/en/player/details/15833-paulo-futre,SUCCESS
89,Predrag Mijatovic,FW,"January 19, 1969","Podgorica ",56,,Montenegro,1m77,73,https://www.footballdatabase.eu/en/player/details/5385-predrag-mijatovic,SUCCESS
90,Jean Tigana,MF,"June 23, 1955","Bamako ",70,,France,1m72,63,https://www.footballdatabase.eu/en/player/details/2241-jean-tigana,SUCCESS
91,Jairzinho,MF,"December 25, 1944","Duque de Caxias ",81,,Brazil,1m80,78,https://www.footballdatabase.eu/en/player/details/6116--jairzinho,SUCCESS
92,Rivelino,MF,"January 01, 1946","São Paulo ",79,,Brazil,1m75,70,https://www.footballdatabase.eu/en/player/details/36182-roberto-rivellino,SUCCESS
93,Giuseppe Meazza,FW,"August 23, 1910","Milan ",115,"August 21, 1979",Italy,1m69,,https://www.footballdatabase.eu/en/player/details/41236-giuseppe-meazza,SUCCESS
